Case_60,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes,2022-10-12T18:24:23Z
Case_77,Fail,,,,louis,Y-Scale (AP); Big; Occipital,2022-10-12T18:29:09Z
Case_92,Fail,,,,louis,X-Scale (LR); Small. Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small,2022-10-12T18:31:07Z
Case_70,Pass,,,,louis,odd intensity artefact/inhomogeneity,2022-10-12T18:27:28Z
Case_128,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes. Z-Scale (IS); Small,2022-10-12T18:08:31Z
Case_82,Fail,,,,louis,Z-Scale (IS); Big,2022-10-12T18:29:47Z
Case_45,Pass,,,,louis,,2022-10-12T18:21:51Z
Case_85,Pass,,,,louis,,2022-10-12T18:30:00Z
Case_15,Pass,,,,louis,,2022-10-12T18:14:33Z
Case_25,Fail,,,,louis,X-Scale (LR); Small,2022-10-12T18:16:38Z
Case_73,Fail,,,,louis,X-Rot (LR); Cerebellum/Tentorium,2022-10-12T18:28:14Z
Case_115,Pass,,,,louis,,2022-10-12T18:01:44Z
Case_113,Fail,,,,louis,X-Rot (LR); Cerebellum/Tentorium,2022-10-12T18:00:59Z
Case_79,Pass,,,,louis,,2022-10-12T18:29:29Z
Case_98,Fail,,,,louis,X-Scale (LR); Small. Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small,2022-10-12T18:31:41Z
Case_117,Fail,,,,louis,X-Scale (LR); Small,2022-10-12T18:02:07Z
Case_88,Fail,,,,louis,Y-Scale (AP); Small; Occipital,2022-10-12T18:30:09Z
Case_137,Fail,,,,louis,Y-Scale (AP); Big; Occipital,2022-10-12T18:13:05Z
Case_130,Pass,,,,louis,,2022-10-12T18:10:21Z
Case_123,Fail,,,,louis,X-Rot (LR); Cerebellum/Tentorium. Z-Scale (IS); Big,2022-10-12T18:04:06Z
Case_56,Fail,,,,louis,X-Rot (LR); Cerebellum/Tentorium,2022-10-12T18:23:19Z
Case_22,Pass,,,,louis,,2022-10-12T18:15:53Z
Case_65,Fail,,,,louis,X-Scale (LR); Small. Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small,2022-10-12T18:24:55Z
Case_94,Pass,,,,louis,,2022-10-12T18:31:20Z
Case_101,Fail,,,,louis,Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small,2022-10-12T17:56:59Z
Case_10,Fail,,,,louis,Y-Scale (AP); Small; Occipital,2022-10-12T17:56:38Z
Case_136,Pass,,,,louis,,2022-10-12T18:12:40Z
Case_33,Pass,,,,louis,,2022-10-12T18:17:46Z
Case_89,Pass,,,,louis,,2022-10-12T18:30:24Z
Case_28,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes,2022-10-12T18:17:11Z
Case_120,Pass,,,,louis,X-Rot (LR); Orbitofrontal/Eyes. Y-Scale (AP); Big; Frontal,2022-10-12T18:02:36Z
Case_46,Fail,,,,louis,Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small,2022-10-12T18:22:00Z
Case_146,Fail,,,,louis,Y-Scale (AP); Small; Occipital,2022-10-12T18:14:18Z
Case_135,Fail,,,,louis,,2022-10-12T18:11:57Z
Case_29,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes,2022-10-12T18:17:16Z
Case_132,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes. Z-Scale (IS); Big,2022-10-12T18:10:54Z
Case_93,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes,2022-10-12T18:31:11Z
Case_67,Pass,,,,louis,,2022-10-12T18:26:03Z
Case_21,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes,2022-10-12T18:15:40Z
Case_75,Pass,,,,louis,Z-Scale (IS); Small,2022-10-12T18:28:49Z
Case_140,Pass,,,,louis,,2022-10-12T18:13:31Z
Case_35,Pass,,,,louis,,2022-10-12T18:18:52Z
Case_48,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes. X-Rot (LR); Cerebellum/Tentorium. Z-Scale (IS); Small,2022-10-12T18:22:28Z
Case_116,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes,2022-10-12T18:01:56Z
Case_43,Fail,,,,louis,Y-Scale (AP); Small; Occipital,2022-10-12T18:21:30Z
Case_74,Pass,,,,louis,,2022-10-12T18:28:24Z
Case_58,Pass,,,,louis,,2022-10-12T18:23:45Z
Case_122,Pass,,,,louis,,2022-10-12T18:03:18Z
Case_63,Pass,,,,louis,,2022-10-12T18:24:43Z
Case_106,Fail,,,,louis,Z-Scale (IS); Small,2022-10-12T17:58:55Z
Case_68,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes,2022-10-12T18:26:07Z
Case_87,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes,2022-10-12T18:30:06Z
Case_5,Fail,,,,louis,Y-Scale (AP); Small; Occipital,2022-10-12T18:22:52Z
Case_18,Fail,,,,louis,X-Rot (LR); Cerebellum/Tentorium,2022-10-12T18:15:15Z
Case_99,Fail,,,,louis,X-Scale (LR); Small. Y-Scale (AP); Small; Occipital. Z-Scale (IS); Small,2022-10-12T18:31:44Z
Case_119,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes. X-Rot (LR); Cerebellum/Tentorium. Y-Scale (AP); Small; Occipital,2022-10-12T18:02:17Z
Case_38,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes,2022-10-12T18:19:11Z
Case_34,Pass,,,,louis,,2022-10-12T18:18:06Z
Case_24,Pass,,,,louis,,2022-10-12T18:16:26Z
Case_13,Fail,,,,louis,Z-Scale (IS); Small,2022-10-12T18:10:01Z
Case_69,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes,2022-10-12T18:26:11Z
Case_7,Fail,,,,louis,Y-Scale (AP); Small; Occipital,2022-10-12T18:26:25Z
Case_129,Fail,,,,louis,Y-Scale (AP); Big; Occipital,2022-10-12T18:08:48Z
Case_84,Fail,,,,louis,,2022-10-12T18:29:49Z
Case_133,Fail,,,,louis,,2022-10-12T18:11:54Z
Case_9,Pass,,,,louis,,2022-10-12T18:30:33Z
Case_32,Fail,,,,louis,Z-Scale (IS); Small,2022-10-12T18:17:25Z
Case_80,Pass,,,,louis,,2022-10-12T18:29:40Z
Case_4,Pass,,,,louis,,2022-10-12T18:20:01Z
Case_1,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes,2022-10-12T17:56:19Z
Case_47,Fail,,,,louis,X-Rot (LR); Cerebellum/Tentorium,2022-10-12T18:22:14Z
Case_14,Pass,,,,louis,,2022-10-12T18:13:15Z
Case_111,Pass,,,,louis,,2022-10-12T18:00:10Z
Case_124,Pass,,,,louis,,2022-10-12T18:05:49Z
Case_59,Fail,,,,louis,X-Rot (LR); Cerebellum/Tentorium,2022-10-12T18:24:05Z
Case_6,Fail,,,,louis,X-Rot (LR); Orbitofrontal/Eyes. Y-Scale (AP); Small; Occipital,2022-10-12T18:24:17Z
