Image,Rating,Comment,Rater
003_S_5187_20130913_t1_stx2,Pass,"",Rater08
003_S_4350_20111109_t1_stx2,Pass,"",Rater01
003_S_4350_20120420_t1_stx2,Pass,"",Rater01
002_S_4229_S610925_t1_stx2,Pass,"",Rater04
003_S_4350_20121206_t1_stx2,Pass,"",Rater01
002_S_4171_20111117_t1_stx2,Fail,"",Rater03
003_S_4354_20120515_t1_stx2,Pass,"",Rater01
002_S_4219_20120323_t1_stx2,Pass,"",Rater03
003_S_4373_20120717_t1_stx2,Pass,"",Rater01
003_S_4900_20120815_t1_stx2,Pass,"",Rater01
003_S_4900_20130214_t1_stx2,Pass,"",Rater01
005_S_0572_20060620_t1_stx2,Pass,"",Rater02
003_S_5187_20130607_t1_stx2,Pass,"",Rater01
002_S_4270_20111011_t1_stx2,Pass,"",Rater04
003_S_6067_S615856_t1_stx2,Pass,"",Rater01
003_S_6258_S666717_t1_stx2,Pass,"",Rater01
005_S_0572_20060731_t1_stx2,Pass,"",Rater02
005_S_0572_20061227_t1_stx2,Pass,"",Rater02
005_S_0602_20070206_t1_stx2,Pass,"",Rater02
002_S_4237_20110926_t1_stx2,Pass,"",Rater03
002_S_4237_20120118_t1_stx2,Pass,"",Rater03
003_S_6644_S755402_t1_stx2,Pass,"",Rater01
005_S_0222_20071005_t1_stx2,Pass,"",Rater01
005_S_0223_20090506_t1_stx2,Pass,"",Rater01
005_S_0324_20061031_t1_stx2,Pass,"",Rater01
005_S_0546_20070202_t1_stx2,Pass,"",Rater01
005_S_0546_20101206_t1_stx2,Pass,"",Rater01
005_S_0553_20060628_t1_stx2,Pass,"",Rater01
005_S_0553_20070104_t1_stx2,Pass,"",Rater01
005_S_0572_20080110_t1_stx2,Pass,"",Rater01
005_S_0602_S242751_t1_stx2,Pass,"",Rater01
002_S_4251_20120417_t1_stx2,Pass,"",Rater03
005_S_0610_20060621_t1_stx2,Pass,"",Rater01
005_S_0610_20111129_t1_stx2,Pass,"",Rater01
002_S_4262_20121025_t1_stx2,Pass,"",Rater03
005_S_0814_20060920_t1_stx2,Pass,"",Rater01
005_S_0814_20070405_t1_stx2,Pass,"",Rater01
005_S_0814_20060830_t1_stx2,Pass,"",Rater02
005_S_1224_20081006_t1_stx2,Pass,"",Rater01
005_S_1341_20071002_t1_stx2,Pass,"",Rater01
002_S_4262_20131106_t1_stx2,Pass,"",Rater03
002_S_4262_S325475_t1_stx2,Pass,"",Rater03
005_S_4185_20120402_t1_stx2,Pass,"",Rater01
005_S_4910_20120921_t1_stx2,Pass,"",Rater02
005_S_5119_20130328_t1_stx2,Fail,"",Rater02
002_S_4746_20120529_t1_stx2,Pass,"",Rater03
006_S_4515_20130314_t1_stx2,Pass,"",Rater01
006_S_4713_20140606_t1_stx2,Pass,"",Rater01
006_S_6209_S659015_t1_stx2,Pass,"",Rater01
003_S_6256_S666705_t1_stx2,Pass,"",Rater08
005_S_0223_20061011_t1_stx2,Pass,"",Rater08
005_S_0324_20070509_t1_stx2,Pass,"",Rater08
005_S_0324_20080422_t1_stx2,Pass,"",Rater08
005_S_0324_20080505_t1_stx2,Pass,"",Rater08
005_S_0324_20090601_t1_stx2,Pass,"",Rater08
005_S_0448_20080603_t1_stx2,Pass,"",Rater08
005_S_0546_20070723_t1_stx2,Pass,"",Rater08
005_S_0553_20070802_t1_stx2,Pass,"",Rater08
005_S_0553_20080821_t1_stx2,Pass,"",Rater08
005_S_0553_20101013_t1_stx2,Pass,"",Rater08
005_S_0553_S178037_t1_stx2,Pass,"",Rater08
005_S_0572_20080710_t1_stx2,Pass,"",Rater08
005_S_0602_20070117_t1_stx2,Pass,"",Rater08
005_S_0602_S133086_t1_stx2,Pass,"",Rater08
005_S_0602_S177215_t1_stx2,Pass,"",Rater08
005_S_0610_20110127_t1_stx2,Pass,"",Rater08
005_S_0610_S174415_t1_stx2,Pass,"",Rater08
005_S_0610_S237353_t1_stx2,Pass,"",Rater08
005_S_0610_S482842_t1_stx2,Pass,"",Rater08
005_S_1341_20080415_t1_stx2,Pass,"",Rater08
006_S_0498_20070313_t1_stx2,Pass,"",Rater08
006_S_0498_20101207_t1_stx2,Pass,"",Rater08
006_S_0498_20121001_t1_stx2,Pass,"",Rater08
006_S_0498_S314735_t1_stx2,Pass,"",Rater08
006_S_0498_S629380_t1_stx2,Pass,"",Rater08
006_S_0681_20070330_t1_stx2,Pass,"",Rater08
006_S_1130_20070718_t1_stx2,Pass,"",Rater08
006_S_4150_S117925_t1_stx2,Fail,wrong image modality,Rater08
006_S_4346_20111110_t1_stx2,Pass,"",Rater08
006_S_4346_20120210_t1_stx2,Pass,"",Rater08
006_S_4515_20120917_t1_stx2,Pass,Z-Scale (IS),Rater08
007_S_0041_20061113_t1_stx2,Pass,"",Rater08
007_S_0068_20100120_t1_stx2,Pass,Y-Scale (AP),Rater08
006_S_6681_S811205_t1_stx2,Pass,"",Rater01
007_S_0068_20071212_t1_stx2,Pass,"",Rater01
007_S_0101_20071218_t1_stx2,Pass,"",Rater01
007_S_0316_20070507_t1_stx2,Pass,"",Rater01
007_S_0414_20070613_t1_stx2,Pass,"",Rater01
007_S_0414_20071217_t1_stx2,Pass,"",Rater01
007_S_0698_20070814_t1_stx2,Pass,"",Rater01
007_S_1222_S148071_t1_stx2,Fail,"",Rater01
007_S_2058_S95585_t1_stx2,Pass,"",Rater01
007_S_4620_20120328_t1_stx2,Pass,"",Rater01
007_S_4620_20140422_t1_stx2,Pass,"",Rater01
007_S_4620_S430765_t1_stx2,Pass,"",Rater01
007_S_4637_20120405_t1_stx2,Pass,"",Rater01
007_S_4637_S736930_t1_stx2,Pass,"",Rater01
007_S_4911_20120830_t1_stx2,Pass,"",Rater01
009_S_0751_S708341_t1_stx2,Pass,"",Rater01
009_S_0842_20081024_t1_stx2,Pass,"",Rater01
009_S_1030_S264709_t1_stx2,Pass,"",Rater01
002_S_6652_S786989_t1_stx2,Fail,"",Rater03
003_S_0907_20070423_t1_stx2,Pass,"",Rater03
003_S_0981_20070502_t1_stx2,Pass,enlarged ventricles,Rater03
003_S_4288_S618035_t1_stx2,Pass,"",Rater03
003_S_4354_S836972_t1_stx2,Pass,"",Rater03
003_S_4441_S815653_t1_stx2,Fail,"",Rater03
003_S_4644_20130524_t1_stx2,Pass,"",Rater03
003_S_4892_20120823_t1_stx2,Pass,"",Rater03
003_S_5130_20130411_t1_stx2,Pass,too close to the skull?,Rater03
003_S_5130_S525406_t1_stx2,Pass,too close to the skull,Rater03
005_S_0222_20080327_t1_stx2,Pass,"",Rater03
005_S_0324_20070504_t1_stx2,Fail,ringing artefact,Rater03
005_S_0324_20071017_t1_stx2,Pass,"",Rater03
005_S_0546_20111118_t1_stx2,Pass,"",Rater03
005_S_0546_S173433_t1_stx2,Pass,"",Rater03
005_S_0553_20090915_t1_stx2,Pass,"",Rater03
005_S_0553_20111116_t1_stx2,Pass,"",Rater03
005_S_0553_S208316_t1_stx2,Pass,"",Rater03
005_S_0602_20070808_t1_stx2,Pass,ventricles,Rater03
005_S_0602_20080716_t1_stx2,Pass,ventricles,Rater03
005_S_0602_S206869_t1_stx2,Pass,ventricles;,Rater03
005_S_0602_S626625_t1_stx2,Pass,ventricles,Rater03
005_S_2390_S266640_t1_stx2,Fail,"",Rater03
005_S_4168_20111130_t1_stx2,Pass,"",Rater03
005_S_4910_20130403_t1_stx2,Pass,"",Rater03
006_S_0547_20070305_t1_stx2,Pass,"",Rater03
006_S_0681_20060831_t1_stx2,Pass,"",Rater03
006_S_0681_20081017_t1_stx2,Pass,"",Rater03
006_S_1130_20061130_t1_stx2,Pass,"",Rater03
006_S_1130_20080828_t1_stx2,Pass,"",Rater03
006_S_4150_20130910_t1_stx2,Pass,ventricles,Rater03
006_S_4192_20111215_t1_stx2,Pass,"",Rater03
006_S_4192_20120507_t1_stx2,Pass,"",Rater03
006_S_4357_20140122_t1_stx2,Pass,ventricles,Rater03
006_S_5153_20130422_t1_stx2,Pass,"",Rater03
006_S_5153_20150813_t1_stx2,Pass,"",Rater03
007_S_0041_20051021_t1_stx2,Pass,"",Rater03
007_S_0068_20051130_t1_stx2,Pass,"",Rater03
009_S_4324_20121114_t1_stx2,Pass,"",Rater01
009_S_4337_20120606_t1_stx2,Pass,"",Rater01
009_S_4388_20120308_t1_stx2,Pass,"",Rater01
009_S_5000_20121026_t1_stx2,Pass,"",Rater01
009_S_5037_20130415_t1_stx2,Pass,"",Rater01
009_S_5224_20130711_t1_stx2,Pass,"",Rater01
009_S_5252_20140226_t1_stx2,Pass,"",Rater01
010_S_0419_S89049_t1_stx2,Pass,"",Rater01
011_S_0003_20060313_t1_stx2,Pass,"",Rater01
011_S_0010_20071107_t1_stx2,Pass,"",Rater01
011_S_0016_20060412_t1_stx2,Pass,"",Rater01
011_S_0021_20061102_t1_stx2,Pass,"",Rater01
007_S_0101_20060707_t1_stx2,Fail,Z-Scale (IS),Rater08
011_S_0021_20121004_t1_stx2,Pass,"",Rater01
007_S_0101_20070129_t1_stx2,Fail,Z-Scale (IS),Rater08
007_S_0101_20081223_t1_stx2,Fail,Z-Scale (IS),Rater08
007_S_0128_20070820_t1_stx2,Fail,Z-Scale (IS),Rater08
007_S_0249_20071003_t1_stx2,Pass,Z-Scale (IS),Rater08
007_S_0293_20070416_t1_stx2,Pass,"",Rater08
007_S_0293_20080325_t1_stx2,Pass,Z-Scale (IS),Rater08
011_S_0023_20060510_t1_stx2,Pass,"",Rater01
007_S_0316_20061030_t1_stx2,Pass,"",Rater08
007_S_0316_20080520_t1_stx2,Pass,"",Rater08
007_S_0344_20071022_t1_stx2,Fail,"",Rater08
007_S_0344_20090601_t1_stx2,Fail,"",Rater08
007_S_0414_20080610_t1_stx2,Pass,Y-Scale (AP),Rater08
007_S_1206_20070821_t1_stx2,Pass,Z-Scale (IS),Rater08
007_S_1222_S651818_t1_stx2,Fail,"",Rater08
007_S_1304_20070402_t1_stx2,Pass,"",Rater08
011_S_0053_20061128_t1_stx2,Pass,"",Rater01
011_S_0183_20060303_t1_stx2,Pass,"",Rater01
011_S_0241_20090331_t1_stx2,Pass,"",Rater01
002_S_0295_20060418_t1_stx2,Pass,"",Rater07
002_S_0295_20061102_t1_stx2,Pass,"",Rater07
002_S_0295_20080723_t1_stx2,Pass,"",Rater07
007_S_4272_20120111_t1_stx2,Fail,X-Scale (LR). Y-Scale (AP),Rater08
007_S_4272_20120430_t1_stx2,Fail,"",Rater08
002_S_0295_20090522_t1_stx2,Pass,"",Rater07
007_S_4272_20151019_t1_stx2,Fail,"",Rater08
011_S_1080_S143732_t1_stx2,Pass,"",Rater01
011_S_2274_20110131_t1_stx2,Pass,"",Rater01
011_S_4075_20110610_t1_stx2,Pass,"",Rater01
011_S_4105_20111005_t1_stx2,Pass,"",Rater01
011_S_4105_20130726_t1_stx2,Pass,"",Rater01
011_S_4222_20130911_t1_stx2,Pass,"",Rater01
011_S_4893_20121210_t1_stx2,Pass,"",Rater01
011_S_4893_S629969_t1_stx2,Pass,"",Rater01
011_S_4906_20121115_t1_stx2,Pass,"",Rater01
007_S_4488_20120822_t1_stx2,Pass,Y-Scale (AP),Rater08
007_S_4611_S430729_t1_stx2,Pass,"",Rater08
002_S_0619_20061213_t1_stx2,Pass,"",Rater07
012_S_0637_20060616_t1_stx2,Pass,"",Rater01
006_S_0653_20060705_t1_stx2,Pass,"",Rater02
007_S_4637_20121029_t1_stx2,Pass,"",Rater08
012_S_0720_20070220_t1_stx2,Pass,"",Rater01
002_S_0729_20090813_t1_stx2,Pass,"",Rater07
006_S_0653_20061114_t1_stx2,Pass,"",Rater02
012_S_0720_20070821_t1_stx2,Pass,"",Rater01
002_S_0782_20080618_t1_stx2,Pass,"",Rater07
012_S_1009_20061101_t1_stx2,Pass,"",Rater01
007_S_4911_20121119_t1_stx2,Pass,"",Rater08
002_S_0782_20081017_t1_stx2,Pass,"",Rater07
007_S_5265_S418899_t1_stx2,Pass,"",Rater08
012_S_1292_20070912_t1_stx2,Pass,"",Rater01
007_S_5265_S609766_t1_stx2,Pass,"",Rater08
012_S_1321_20081009_t1_stx2,Pass,"",Rater01
002_S_0938_20071023_t1_stx2,Pass,"",Rater07
012_S_5195_S746335_t1_stx2,Pass,"",Rater01
007_S_6421_S692342_t1_stx2,Pass,"",Rater08
006_S_0681_20071018_t1_stx2,Pass,"",Rater02
002_S_0955_20070510_t1_stx2,Pass,"",Rater07
013_S_0502_S73416_t1_stx2,Pass,"",Rater01
002_S_1070_20071210_t1_stx2,Pass,"",Rater07
013_S_0699_20060828_t1_stx2,Pass,"",Rater01
009_S_0751_20080903_t1_stx2,Pass,"",Rater08
002_S_1261_20070830_t1_stx2,Pass,"",Rater07
013_S_0996_20070103_t1_stx2,Pass,"",Rater01
009_S_0842_20121101_t1_stx2,Pass,"",Rater08
009_S_1030_20080514_t1_stx2,Pass,"",Rater08
009_S_1030_20091109_t1_stx2,Pass,"",Rater08
009_S_1030_20101208_t1_stx2,Pass,"",Rater08
009_S_1354_20070926_t1_stx2,Pass,"",Rater08
013_S_1035_20061102_t1_stx2,Pass,"",Rater01
002_S_1268_20100304_t1_stx2,Pass,"",Rater07
013_S_1035_20061128_t1_stx2,Pass,"",Rater01
002_S_2010_20110707_t1_stx2,Pass,"",Rater07
009_S_2208_20130110_t1_stx2,Pass,X-Scale (LR),Rater08
013_S_1186_20080207_t1_stx2,Pass,"",Rater01
009_S_2381_20110825_t1_stx2,Pass,"",Rater08
009_S_4324_20120514_t1_stx2,Fail,"",Rater08
002_S_2010_20120711_t1_stx2,Pass,"",Rater07
013_S_2389_20120215_t1_stx2,Pass,"",Rater01
013_S_4268_20111101_t1_stx2,Pass,"",Rater01
009_S_4324_S375457_t1_stx2,Fail,bottom of the brain cut off,Rater08
013_S_4579_20121219_t1_stx2,Pass,"",Rater01
009_S_4388_20111213_t1_stx2,Pass,"",Rater08
002_S_1261_20110314_t1_stx2,Pass,"",Rater07
002_S_1261_20150602_t1_stx2,Pass,"",Rater07
009_S_4388_20120709_t1_stx2,Pass,"",Rater08
013_S_4579_20140602_t1_stx2,Pass,"",Rater01
013_S_4580_20140421_t1_stx2,Pass,"",Rater01
009_S_4388_20140131_t1_stx2,Pass,"",Rater08
013_S_4616_20121025_t1_stx2,Pass,"",Rater01
009_S_4530_20120516_t1_stx2,Pass,"",Rater08
013_S_4731_20120531_t1_stx2,Pass,"",Rater01
013_S_4917_20120831_t1_stx2,Pass,"",Rater01
009_S_4741_S499964_t1_stx2,Pass,"",Rater08
009_S_4903_20120911_t1_stx2,Pass,"",Rater08
009_S_5000_20141203_t1_stx2,Fail,"",Rater08
014_S_0169_20060824_t1_stx2,Pass,"",Rater01
014_S_0519_20060512_t1_stx2,Pass,"",Rater01
014_S_0519_20100830_t1_stx2,Pass,"",Rater01
014_S_0520_20080626_t1_stx2,Pass,"",Rater01
009_S_5027_20140122_t1_stx2,Pass,"",Rater08
009_S_5037_20130820_t1_stx2,Pass,"",Rater08
014_S_0520_20100830_t1_stx2,Pass,"",Rater01
009_S_5176_20150702_t1_stx2,Fail,"",Rater08
014_S_0558_20100826_t1_stx2,Pass,"",Rater01
014_S_0563_S119100_t1_stx2,Pass,"",Rater01
014_S_1095_20070612_t1_stx2,Pass,"",Rater01
014_S_2308_20110908_t1_stx2,Pass,"",Rater01
010_S_0161_20060816_t1_stx2,Pass,X-Scale (LR),Rater08
010_S_0419_20061215_t1_stx2,Pass,"",Rater08
010_S_0419_S52045_t1_stx2,Pass,"",Rater08
010_S_0419_S69112_t1_stx2,Pass,"",Rater08
002_S_4171_20110808_t1_stx2,Fail,"",Rater07
010_S_0422_20060615_t1_stx2,Pass,"",Rater08
002_S_4229_20120410_t1_stx2,Pass,"",Rater07
002_S_4262_20120102_t1_stx2,Pass,"",Rater07
014_S_4058_20111222_t1_stx2,Pass,"",Rater01
002_S_4262_20120419_t1_stx2,Pass,"",Rater07
007_S_0698_20060707_t1_stx2,Pass,"",Rater03
002_S_4447_20130130_t1_stx2,Pass,"",Rater07
010_S_0904_20061207_t1_stx2,Pass,"",Rater08
014_S_4093_20120112_t1_stx2,Pass,"",Rater01
014_S_4576_20120308_t1_stx2,Pass,"",Rater01
007_S_2106_S97040_t1_stx2,Fail,"",Rater03
014_S_4576_S746718_t1_stx2,Pass,"",Rater01
011_S_0021_20051010_t1_stx2,Pass,"",Rater08
014_S_4577_20120308_t1_stx2,Pass,"",Rater01
011_S_0021_20081023_t1_stx2,Pass,"",Rater08
014_S_6076_S611746_t1_stx2,Pass,"",Rater01
011_S_0021_20131017_t1_stx2,Pass,"",Rater08
011_S_0022_20051010_t1_stx2,Pass,"",Rater08
011_S_0022_20060420_t1_stx2,Pass,"",Rater08
007_S_4568_20130513_t1_stx2,Fail,Noise,Rater03
011_S_0022_20071022_t1_stx2,Pass,"",Rater08
011_S_0023_20081125_t1_stx2,Pass,"",Rater08
016_S_0702_S189039_t1_stx2,Fail,"",Rater01
016_S_0702_S26925_t1_stx2,Pass,"",Rater01
016_S_0702_S91997_t1_stx2,Pass,"",Rater01
011_S_0023_20111220_t1_stx2,Pass,"",Rater08
011_S_0241_20070326_t1_stx2,Pass,"",Rater08
011_S_0241_20080408_t1_stx2,Pass,"",Rater08
011_S_0326_20080404_t1_stx2,Pass,"",Rater08
011_S_0861_20071002_t1_stx2,Pass,"",Rater08
011_S_0861_20091007_t1_stx2,Fail,"",Rater08
009_S_0751_S840935_t1_stx2,Pass,"",Rater03
011_S_1080_20061122_t1_stx2,Pass,"",Rater08
016_S_0991_20071213_t1_stx2,Pass,"",Rater01
011_S_1080_20070523_t1_stx2,Pass,"",Rater08
016_S_1028_20081209_t1_stx2,Pass,"",Rater01
016_S_1092_20080731_t1_stx2,Pass,"",Rater01
009_S_4324_S704284_t1_stx2,Fail,"",Rater03
011_S_1282_20080918_t1_stx2,Pass,"",Rater08
016_S_1121_20071214_t1_stx2,Pass,"",Rater01
016_S_1326_20070928_t1_stx2,Pass,"",Rater01
011_S_4075_20120622_t1_stx2,Pass,"",Rater08
009_S_4958_20130417_t1_stx2,Pass,"",Rater03
016_S_2007_S88075_t1_stx2,Pass,"",Rater01
011_S_4120_20130725_t1_stx2,Pass,"",Rater08
011_S_4222_20120411_t1_stx2,Pass,"",Rater08
016_S_4009_20110618_t1_stx2,Fail,"",Rater01
011_S_4278_20111013_t1_stx2,Pass,"",Rater08
011_S_4278_20120424_t1_stx2,Pass,"",Rater08
016_S_4121_20120123_t1_stx2,Pass,"",Rater01
002_S_4473_20120517_t1_stx2,Pass,"",Rater07
011_S_4278_S299466_t1_stx2,Pass,"",Rater08
011_S_4893_20130404_t1_stx2,Pass,"",Rater08
009_S_5037_20140211_t1_stx2,Pass,"",Rater03
016_S_4902_20130312_t1_stx2,Pass,"",Rater01
011_S_4893_20130927_t1_stx2,Pass,"",Rater08
011_S_4906_20120813_t1_stx2,Pass,"",Rater08
002_S_4746_20130603_t1_stx2,Pass,"",Rater07
006_S_4192_20121015_t1_stx2,Pass,"",Rater02
006_S_4346_20120524_t1_stx2,Pass,"",Rater02
016_S_4952_S537542_t1_stx2,Pass,"",Rater01
016_S_4952_S830152_t1_stx2,Pass,"",Rater01
016_S_5007_20121203_t1_stx2,Pass,"",Rater01
016_S_5007_20150223_t1_stx2,Pass,"",Rater01
009_S_5147_20130722_t1_stx2,Pass,"",Rater03
018_S_0055_20081009_t1_stx2,Pass,"",Rater01
018_S_0055_S264963_t1_stx2,Pass,"",Rater01
011_S_6618_S744328_t1_stx2,Pass,"",Rater08
012_S_0689_20070110_t1_stx2,Pass,"",Rater08
011_S_0016_20050927_t1_stx2,Pass,"",Rater03
012_S_0689_20080715_t1_stx2,Pass,"",Rater08
006_S_4515_20120207_t1_stx2,Pass,"",Rater02
012_S_0917_20061201_t1_stx2,Pass,"",Rater08
011_S_0053_20060530_t1_stx2,Pass,"",Rater03
012_S_1212_S25501_t1_stx2,Fail,"",Rater08
018_S_0087_20070801_t1_stx2,Pass,"",Rater01
012_S_1292_20070301_t1_stx2,Pass,"",Rater08
012_S_1321_20070222_t1_stx2,Pass,"",Rater08
002_S_0729_20080305_t1_stx2,Pass,"",Rater06
011_S_0241_20071004_t1_stx2,Pass,"",Rater03
012_S_2118_S95170_t1_stx2,Pass,"",Rater08
012_S_4012_20110720_t1_stx2,Pass,"",Rater08
